issue_id,type,phase,category,is_comment,is_closed,interval_fir_comment(hour),interval_closed(hour),body_len
I103,github issue,Maintenance,resource management,0,1,,0.043333333,314
I104,github issue,Maintenance,resource management,0,1,,0.085833333,290
I105,github issue,Construction,dependency,0,1,,17.95388889,137
I106,github issue,Construction,dependency,0,1,,0.058611111,882
I107,github issue,Construction,configuration,0,1,,0.232777778,882
I108,github issue,Maintenance,efficiency,1,0,0.721666667,,46
I109,github issue,Operation,deployment,0,0,,,226
I110,github issue,Operation,deployment,0,0,,,159
I111,github issue,Construction,dependency,1,1,76.77666667,99.47138889,207
I112,github issue,Maintenance,monitoring,0,0,,,468
I113,github issue,Maintenance,efficiency,0,0,,,1497
I114,github issue,Maintenance,monitoring,1,1,12.93083333,15.47916667,415
I115,github issue,Construction,configuration,0,0,,,259
I116,github issue,Construction,dependency,0,1,,842.2875,542
I117,github issue,Operation,deployment,1,1,943.8836111,956.5191667,33
I118,github issue,Maintenance,monitoring,1,1,0.214444444,1386.999167,308
I119,github issue,Operation,deployment,0,1,,1.119722222,432
I120,github issue,Construction,configuration,1,1,502.0775,3029.628056,486
I121,github issue,Construction,dependency,1,1,3.932777778,4.289444444,50
I122,github issue,Construction,configuration,1,0,0.036388889,,524
I123,github issue,Operation,containerized services,0,0,,,1657
I124,github issue,Construction,configuration,0,1,,4883.506111,366
I125,github issue,Maintenance,monitoring,1,1,6146.811944,6146.811944,972
I126,github issue,Operation,deployment,1,1,0.294166667,5.026111111,54
I127,github issue,Maintenance,resource management,1,1,1.831944444,53.32888889,231
I128,github issue,Construction,dependency,1,1,71.35916667,72.39277778,483
I129,github issue,Operation,containerized services,1,1,24.75666667,4678.481389,270
I130,github issue,Construction,configuration,1,1,13.38055556,1261.616389,759
I131,github issue,Construction,dependency,1,0,4.170555556,,383
I132,github issue,Operation,deployment,0,1,,135.8638889,286
I133,github issue,Construction,dependency,0,0,,,242
I134,github issue,Construction,dependency,0,1,,96.92861111,176
I135,github issue,Construction,configuration,0,1,,237.8955556,27
I136,github issue,Construction,dependency,1,0,0.095833333,,459
I137,github issue,Operation,deployment,1,1,65.9,408.8883333,170
I138,github issue,Operation,deployment,0,1,,3914.604444,377
I139,github issue,Construction,dependency,1,1,8.789444444,561.1827778,530
I140,github issue,Maintenance,security,1,1,2.355277778,261.0127778,168
I141,github issue,Operation,deployment,1,1,5923.645556,5923.649167,446
I142,github issue,Maintenance,security,0,0,,,205
I143,github issue,Maintenance,security,1,1,6.3575,330.8794444,730
I144,github issue,Initialization ,basic usage,0,0,,,296
I145,github issue,Construction,dependency,1,1,0.166111111,195.5830556,863
I146,github issue,Operation,deployment,1,1,0.004444444,0.336388889,2097
I147,github issue,Operation,deployment,0,0,,,814
I148,github issue,Construction,configuration,1,0,14.71472222,,412
I149,github issue,Maintenance,monitoring,1,1,1.877222222,3106.04,918
I150,github issue,Maintenance,monitoring,0,0,,,918
I151,github issue,Maintenance,monitoring,0,0,,,918
I152,github issue,maintenance,resource management,0,0,,,510
I153,github issue,Construction,dependency,1,0,199.2847222,,1298
I154,github issue,Maintenance,efficiency,1,1,170.5986111,170.5986111,315
I155,github issue,Maintenance,efficiency,1,1,170.6230556,170.6230556,317
I156,github issue,Maintenance,security,1,0,3.388888889,,551
I157,github issue,Construction,dependency,1,1,0.0075,2327.345556,431
I158,github issue,Maintenance,monitoring,1,1,0.362777778,3459.851944,722
I159,github issue,Construction,dependency,0,1,,3485.509167,435
I160,github issue,Maintenance,efficiency,1,1,9602.065,9602.065,38
I161,github issue,Operation,deployment,1,1,25.235,101.7205556,271
I162,github issue,Construction,runner,0,1,,34.05222222,580
I163,github issue,Operation,deployment,0,1,,85.95055556,1048
I164,github issue,Operation,deployment,0,1,,459.83,1920
I165,github issue,Operation,deployment,1,0,1.931111111,,478
I166,github issue,Maintenance,efficiency,0,0,,,326
I167,github issue,Construction,configuration,0,1,,127.4725,170
I168,github issue,Maintenance,efficiency,0,1,,125.3997222,149
I169,github issue,Initialization ,basic usage,0,1,,531.7455556,239
I170,github issue,Construction,dependency,0,1,,460.5769444,416
I171,github issue,Initialization ,basic usage,1,0,0.418333333,,432
I172,github issue,Maintenance,resource management,1,1,4848.631111,4848.631111,739
I173,github issue,Construction,configuration,1,1,246.5,281.9633333,25
I174,github issue,Construction,configuration,1,0,2380.982222,,95
I175,github issue,Construction,dependency,1,1,3525.338056,3525.338056,44
I176,github issue,Construction,dependency,1,0,3.286388889,,283
I177,github issue,Maintenance,efficiency,1,1,0.267222222,3717.601389,835
I178,github issue,Maintenance,monitoring,1,1,9215.024444,9215.024444,92
I179,github issue,Construction,dependency,1,1,103.5230556,103.5230556,639
I180,github issue,Operation,deployment,1,0,10.29805556,,253
I181,github issue,Operation,deployment,0,1,,1517.743333,149
I182,github issue,Operation,deployment,0,0,,,26
I183,github issue,Operation,deployment,1,1,5.285833333,4.408333333,59
I184,github issue,Operation,deployment,1,1,503.2122222,2022.4325,61
I185,github issue,Operation,deployment,1,1,53.05638889,201.725,102
I186,github issue,Construction,dependency,1,1,0.330277778,1611.45,502
I187,github issue,Construction,dependency,0,1,,23.18472222,0
I188,github issue,Construction,dependency,0,1,,0.449166667,29
I189,github issue,Operation,deployment,1,1,91.0375,6717.449722,848
I190,github issue,Maintenance,resource management,1,1,369.4194444,369.4194444,52
I191,github issue,Operation,deployment,1,1,54.23138889,2566.104167,862
I192,github issue,Construction,dependency,1,1,2.667222222,7.008611111,846
I193,github issue,Construction,dependency,1,1,0.154166667,13363.84861,698
