id,is_new,type,is_answer,is_acceptAnswer,interval_fir_ans(hour),interval_acc_ans(hour),body_len
P916,0,so post,1,1,0.079722222,0.079722222,1480
P917,0,so post,0,0,,,1053
P918,0,so post,1,1,1.016111111,1.016111111,3170
P919,0,so post,1,0,0.037222222,,2652
P920,0,so post,0,0,,,1391
P921,0,so post,1,1,0.628611111,44.11416667,1864
P922,0,so post,1,1,1.570833333,52.74416667,1724
P923,0,so post,1,1,38.59416667,38.59416667,242
P924,0,so post,0,0,,,1464
P925,0,so post,1,0,3190.587222,,4155
P926,0,so post,1,1,0.660833333,24.94833333,634
P927,0,so post,0,0,,,16083
P928,0,so post,1,1,0.198888889,15.65333333,316
P929,0,so post,1,0,11.33611111,,376
P930,0,so post,1,0,159.4441667,,2418
P931,0,so post,1,0,14770.66083,,1992
P932,0,so post,1,1,0.595,0.595,6288
P933,0,so post,1,1,174.4272222,174.4272222,1262
P934,0,so post,1,0,1.926944444,,882
P935,0,so post,1,1,3038.746389,3038.746389,2585
P936,0,so post,1,1,4.9125,4.9125,4389
P937,0,so post,1,0,0.783333333,,815
P938,0,so post,1,0,251.6811111,,1510
P939,0,so post,1,1,5156.959444,5156.959444,2126
P940,0,so post,1,0,24.16305556,,946
P941,0,so post,1,1,0.395,0.395,860
P942,0,so post,0,0,,,1073
P943,0,so post,1,0,2540.158333,,939
P944,0,so post,1,0,23.28416667,,3806
P945,0,so post,1,1,2.452222222,2.452222222,2794
P946,0,so post,1,1,0.424722222,0.424722222,564
P947,0,so post,1,1,70.95861111,70.95861111,5593
P948,0,so post,0,0,,,584
P949,0,so post,1,1,2142.533611,2142.533611,1083
P950,0,so post,1,1,55.76,55.76,695
P951,0,so post,1,0,0,,258
P952,0,so post,0,0,,,2224
P953,0,so post,0,0,,,898
P954,0,so post,1,0,12622.62528,,656
P955,0,so post,1,0,357.4544444,,1929
P956,0,so post,0,0,,,2370
P957,0,so post,0,0,,,3332
P958,0,so post,0,0,,,870
P959,0,so post,1,1,0.808611111,0.808611111,754
P960,0,so post,1,1,168.7016667,168.7016667,1987
P961,0,so post,0,0,,,669
P962,0,so post,0,0,,,945
P963,0,so post,1,1,0.628333333,0.628333333,442
P964,0,so post,1,0,9.977222222,,701
P965,0,so post,1,0,164.4005556,,1311
P966,0,so post,1,0,0.135555556,,1091
P967,0,so post,1,0,840.0927778,,1824
P968,0,so post,1,1,6.645,6.645,1825
P969,0,so post,1,0,85.39472222,,391
P970,0,so post,1,0,1176.699167,,720
P971,0,so post,0,0,,,902
P972,0,so post,1,0,71.32027778,,357
P973,0,so post,1,1,6.568611111,6.568611111,930
P974,0,so post,0,0,,,519
P975,0,so post,1,0,0.161111111,,896
P976,0,so post,1,1,5.255555556,5.255555556,833
P977,0,so post,1,1,8.134722222,8.134722222,828
P978,0,so post,1,0,0.586111111,,558
P979,0,so post,1,1,1.919722222,1.919722222,211
P980,0,so post,0,0,,,1477
P981,0,so post,1,1,26.39611111,26.39611111,110
P982,0,so post,1,1,7.615277778,11.92083333,1020
P983,0,so post,1,0,7.001388889,,366
P984,0,so post,1,1,20.91805556,20.91805556,2375
P985,0,so post,1,1,0.769444444,0.769444444,135
P986,0,so post,0,0,,,9652
P987,0,so post,1,1,70.85111111,70.85111111,5071
P988,0,so post,1,1,27.37777778,4586.593056,338
P989,0,so post,1,0,2852.198333,,3305
P990,0,so post,1,1,0.508333333,0.508333333,1989
P991,0,so post,0,0,,,445
P992,0,so post,1,0,5.635833333,,662
P993,0,so post,1,1,40.0275,40.0275,2084
P994,0,so post,1,1,6.827777778,6.827777778,520
P995,0,so post,1,0,0.210833333,,1577
P996,0,so post,1,1,2.294166667,2.294166667,1688
P997,0,so post,1,1,0.914166667,0.914166667,1226
P998,0,so post,1,1,0.391111111,0.391111111,537
P999,0,so post,1,0,0.622777778,,1801
P1000,0,so post,1,0,0.878333333,,1508
P1001,0,so post,1,1,0.358888889,0.358888889,880
P1002,0,so post,1,1,18.59888889,18.59888889,1119
P1003,0,so post,1,1,1.275555556,1.275555556,1199
P1004,0,so post,1,1,0.053611111,0.053611111,461
P1005,0,so post,1,1,2.251111111,2.251111111,241
P1006,0,so post,1,0,4.599722222,,2451
P1007,0,so post,1,0,10.16861111,,377
P1008,0,so post,0,0,,,923
P1009,0,so post,1,1,2.991944444,2.991944444,890
P1010,0,so post,1,1,2.272777778,2.272777778,1080
P1011,0,so post,0,0,,,826
P1012,0,so post,1,0,59.6575,,676
P1013,0,so post,1,1,9.968611111,9.968611111,700
P1014,0,so post,1,0,27.22166667,,1329
P1015,0,so post,1,1,16.82916667,17.22611111,991
P1016,0,so post,0,0,,,407
P1017,0,so post,1,0,45.535,,574
P1018,0,so post,1,1,22.01194444,22.01194444,2480
P1019,0,so post,1,1,1089.202778,1089.202778,3045
P1020,0,so post,0,0,,,2846
P1021,0,so post,1,1,5.024166667,5.024166667,1194
P1022,0,so post,0,0,,,1322
P1023,0,so post,0,0,,,1564
P1024,0,so post,0,0,,,2547
P1025,0,so post,0,0,,,284
P1026,0,so post,1,1,0.414722222,0.414722222,2168
P1027,0,so post,1,1,186.5291667,13565.51167,829
P1028,0,so post,1,1,32.90888889,32.90888889,416
P1029,0,so post,1,1,18.82138889,18.82138889,1503
P1030,0,so post,1,1,17.37472222,17.37472222,796
P1031,0,so post,0,0,,,1573
P1032,0,so post,1,0,1005.150278,,1262
P1033,0,so post,0,0,,,1875
P1034,0,so post,1,1,0,0,1553
P1035,0,so post,0,0,,,1386
P1036,0,so post,1,1,2.716388889,2.716388889,1004
P1037,0,so post,1,0,9533.412222,,2037
P1038,0,so post,1,0,0.347222222,,740
P1039,0,so post,1,1,22.95138889,22.95138889,2092
P1040,0,so post,1,1,120.1633333,120.1633333,1623
P1041,0,so post,1,1,0.948333333,5.609444444,894
P1042,0,so post,1,0,11.34944444,,695
P1043,0,so post,0,0,,,1062
P1044,0,so post,1,1,293.9780556,2496.616389,1003
P1045,0,so post,0,0,,,319
P1046,0,so post,1,1,10.33916667,10.33916667,1495
P1047,0,so post,0,0,,,2384
P1048,0,so post,1,1,20.86,20.86,203
P1049,0,so post,1,0,0.048055556,,336
P1050,0,so post,1,1,10.07,10.07,513
P1051,0,so post,0,0,,,1418
P1052,0,so post,0,0,,,974
P1053,0,so post,0,0,,,5479
P1054,0,so post,1,1,19.36694444,22.33944444,4733
P1055,0,so post,1,1,477.9597222,477.9597222,792
P1056,0,so post,1,1,9.112777778,7114.213611,559
P1057,0,so post,1,1,1.660555556,1.660555556,853
P1058,0,so post,0,0,,,1416
P1059,0,so post,1,0,5389.856667,,1770
P1060,0,so post,0,0,,,1087
P1061,0,so post,1,0,0.148055556,,937
P1062,0,so post,1,1,10.38444444,10.38444444,1121
P1063,0,so post,0,0,,,10964
P1064,0,so post,0,0,,,3188
P1065,0,so post,1,1,45.13555556,45.13555556,21084
P1066,0,so post,1,1,12.42444444,12.42444444,586
P1067,0,so post,1,1,69.5,69.5,1872
P1068,0,so post,0,0,,,3620
P1069,0,so post,1,1,423.5394444,423.5394444,2076
P1070,0,so post,1,0,24.46416667,,414
P1071,0,so post,1,1,5.098611111,5.098611111,736
P1072,0,so post,1,1,4.988055556,4.988055556,608
P1073,0,so post,1,1,239.5861111,239.5861111,2307
P1074,0,so post,0,0,,,246
P1075,0,so post,1,1,3.331944444,3.331944444,1668
P1076,0,so post,1,1,10.61333333,10.61333333,1775
P1077,0,so post,1,0,192.0794444,,2158
P1078,0,so post,1,0,1.856111111,,2260
P1079,0,so post,1,0,72.31555556,,747
P1080,0,so post,1,0,4076.293889,,1750
P1081,0,so post,1,1,2.418333333,2.418333333,725
P1082,0,so post,1,1,0.701388889,19.73916667,1135
P1083,0,so post,1,1,18.28916667,18.28916667,2001
P1084,0,so post,1,0,17.03027778,,510
P1085,0,so post,1,0,23.38305556,,2906
P1086,0,so post,1,1,178.8644444,178.8644444,242
P1087,0,so post,1,0,1.595833333,,1441
P1088,0,so post,1,1,9.776944444,9.776944444,686
P1089,0,so post,0,0,,,1542
P1090,0,so post,1,0,12.53333333,,1566
P1091,0,so post,1,1,1.988611111,1.988611111,2010
P1092,0,so post,0,0,,,1036
P1093,0,so post,1,1,0.3225,0.3225,1612
P1094,0,so post,1,1,1.582222222,1.582222222,1394
P1095,0,so post,1,1,17.54583333,17.54583333,202
P1096,0,so post,0,0,,,1634
P1097,0,so post,0,0,,,2178
P1098,0,so post,1,0,3004.689444,,1500
P1099,0,so post,1,0,1.186666667,,1888
P1100,0,so post,1,0,1116.049167,,2777
P1101,0,so post,1,0,8422.668611,,459
P1102,0,so post,1,1,0.511111111,0.511111111,916
P1103,0,so post,1,0,29.70111111,,855
P1104,0,so post,1,1,0.359444444,0.359444444,927
P1105,0,so post,1,1,0.053888889,0.053888889,410
P1106,0,so post,1,1,0.900833333,0.900833333,1468
P1107,0,so post,0,0,,,879
P1108,0,so post,0,0,,,831
P1109,0,so post,0,0,,,397
P1110,0,so post,1,0,3.574722222,,545
P1111,0,so post,1,1,3.778055556,3.778055556,756
P1112,0,so post,1,1,6.180277778,6.180277778,340
P1113,0,so post,0,0,,,1170
P1114,0,so post,1,0,2795.290556,,5449
P1115,0,so post,1,0,1910.0325,,374
P1116,0,so post,1,0,0.156944444,,788
P1117,0,so post,0,0,,,3011
P1118,0,so post,1,0,18.58777778,,2652
